price,link,title,location,description,Nearest intersection,Bedrooms,Bathrooms,Unit type,Parking included,sqft,sqm
2590.0,/v-apartments-condos/vancouver/heritage-one-bedroom-at-burrard-and-robson/1692945725,Heritage One-bedroom at Burrard and Robson,Vancouver,"Location, location, location! Live at the centre of it all in this New York City-style character building in the heart of downtown Vancouver. Here's the video: https://youtu.be/eMq3SdZud9A This ...",Burrard Street / Robson Street,1.0,1.0,Apartment,0,623.0,57.878569
2200.0,/v-apartments-condos/vancouver/pet-friendly-spacious-1-bedroom-basement-suite-newly-renovated/1695123408,"Pet Friendly, Spacious 1 Bedroom Basement suite, Newly Renovated",Vancouver,"Spacious, newly renovated one bedroom basement suite with 9-foot ceiling near Victoria St and 54th, Vancouver. Comes with ensuite new washer and dryer, new paint, new floorings with updated washroom ...",Knight Street / East 53rd Avenue,1.0,1.0,Basement,0,600.0,55.7418
2500.0,/v-apartments-condos/vancouver-downtown-west-end/3583-kingsway-apartment-for-rent-in-vancouver/1695120224,3583 Kingsway - Apartment for Rent in Vancouver,Vancouver,"Discover your new home at 3583 Kingsway, a newly constructed and captivating community in Eastern Vancouver. It boasts a rooftop terrace that offers breathtaking mountain views, a cozy lounge area, ...",Kingsway / Lincoln Street,1.0,1.0,Apartment,0,536.0,49.796008
2350.0,/v-apartments-condos/vancouver/2-bedroom-rental-available-in-vancouver/1695120743,2 BEDROOM RENTAL AVAILABLE IN VANCOUVER,Vancouver,"2 Bedroom Rental 625 Sqft Killarney Area for Rent $2,350. Utilities are not included. AVAILABLE AS OF JULY 1ST MAXIMUM OF 2 RENTERS. INCLUDES ONLY (INTERNET) WIFI, LAUNDRY, AND STREET PARKING. Close ...",Kerr Street / East 51st Avenue,2.0,1.0,Basement,1,625.0,58.064375
3050.0,/v-apartments-condos/vancouver/3-bedroom-upper-floor-bright-quiet-convenient-east-vancouver/1695120125,3 Bedroom Upper floor Bright Quiet Convenient East Vancouver,Vancouver,"Upper Floor of house 3 Spacious Bedrooms, Bright and Clean 2 Full Bathrooms 9 Ft Ceiling, Hardwood Floor, Gas Fireplace Large covered sundeck Private front and back entrance Killarney area, walk to ...",East 45th Avenue / Kerr Street,3.0,2.0,House,0,1200.0,111.4836
900.0,/v-apartments-condos/burnaby-new-westminster/burnaby-1bdrm-for-rent-in-2-bdrm-suite/1695119992,Burnaby – 1Bdrm for rent in 2 Bdrm Suite,Burnaby,"Beautiful above ground 1 bdrm for rent in 2 bdrm basement suite. One room currently rented looking for a second student or professional for other room. Fully furnished living room, kitchen, and ...",10th Avenue / Fourteenth Street,1.0,1.0,House,0,600.0,55.7418
2371.0,/v-apartments-condos/vancouver-downtown-west-end/studio-apartment-for-rent-1255-pendrell-street/1695118797,Studio Apartment for Rent - 1255 Pendrell Street,Vancouver,"Virtual Open House: View our units by clicking the virtual tour link, schedule a video tour or make an appointment for in person viewing. Call: 604-861-5422. Connaught Apartments at 1255 Pendrell ...",Davie Street / Bute Street,0.0,1.0,Apartment,0,436.0,40.505708
2400.0,/v-apartments-condos/delta-surrey-langley/apartment-for-rent/1694662526,Apartment for Rent,Delta/Surrey/Langley,"Very new Penthouse has balcony with view 2 bedroom condo for rent available July 1/2024 in Surrey central area , 5’ to Surrey Memorial Hospital, 5 minute walk to King George sky train, and SFU , and ...",Fraser Highway / 138 Street,2.0,1.0,Condo,1,750.0,69.67725
1500.0,/v-apartments-condos/richmond-bc/1-bedroom-1-bath-suite-for-rent/1695114884,1 bedroom 1 bath suite for rent,Richmond,"Ground level 1 bedroom 1 bath suite for rent-avail July 1 Separate entrance, parking for 1 vehicle Steps away from the 402 bus stop Utilities included No smoking No pets No laundry Preferred ...",Williams Road / Haddon Drive,1.0,1.0,Basement,1,600.0,55.7418
2300.0,/v-apartments-condos/delta-surrey-langley/2-bdrm-rental-suite-in-white-rock-too-good-to-miss/1695113430,2 bdrm Rental suite in White Rock - Too Good to Miss!,White Rock,"This desirable street level entry suite is a 15 minute, gently sloping walk to the West Beach Promenade! $2300.00 per month includes utilities. It has a built-in vac, vinyl plank and lino flooring ...",Marine Drive / Fir Street,2.0,1.0,Apartment,2,1300.0,120.7739
3500.0,/v-apartments-condos/delta-surrey-langley/two-storey-luxury-apartment-2-parking-ev-charger-small-pet-ok/1695112504,"Two-storey Luxury Apartment, 2 Parking, EV charger, Small pet Ok",Langley Township,"Willoughby Heights offers a high quality of life thanks to its convenient transportation, beautiful surroundings, peaceful community, and friendly neighbours. This condo townhome faces south and is ...",201 Street / 86 Avenue,3.0,2.0,Apartment,2,1360.0,126.34808
2750.0,/v-apartments-condos/delta-surrey-langley/1-bedroom-and-office-amazing-ocean-views/1695109998,1 Bedroom and Office Amazing Ocean views,Delta/Surrey/Langley,1 Bedroom and Office Large deck with amazing ocean views 170 sq. ft. Hardwood floors throughout Suitable 1 or 2 people max. In unit w/d Pets negotiable,Marine Drive / Balsam Street,1.5,1.0,Apartment,1,750.0,69.67725
3295.0,/v-apartments-condos/delta-surrey-langley/the-lincoln-3-bdrm-available-at-5335-200a-ave-langley-apartme/1694703549,"The Lincoln - 3 Bdrm available at 5335 200a Ave, Langley Apartme",Langley,"1 Month Rent Free + $500 Security Deposit Visit our Website: https://www.capreit.ca/apartments-for-rent/langley-bc/the-lincoln/ Move into The Lincoln, Langley’s newest luxury rental building. This ...",200 Street / 53A Avenue,3.0,1.0,Apartment,0,1011.0,93.924933
2775.0,/v-apartments-condos/delta-surrey-langley/the-lincoln-2-bdrm-available-at-5335-200a-ave-langley-apartme/1687001359,"The Lincoln - 2 Bdrm available at 5335 200a Ave, Langley Apartme",Delta/Surrey/Langley,"1 Month Rent Free + $500 Security Deposit Visit our Website: https://www.capreit.ca/apartments-for-rent/langley-bc/the-lincoln/ Move into The Lincoln, Langley’s newest luxury rental building. This ...",200 Street / 53A Avenue,2.0,1.0,Apartment,0,833.0,77.388199
2065.0,/v-apartments-condos/delta-surrey-langley/the-lincoln-1-bdrm-available-at-5335-200a-ave-langley-apartme/1689778834,"The Lincoln - 1 Bdrm available at 5335 200a Ave, Langley Apartme",Langley,"1 Month Rent Free + $500 Security Deposit Visit our Website: https://www.capreit.ca/apartments-for-rent/langley-bc/the-lincoln/ Move into The Lincoln, Langley’s newest luxury rental building. This ...",200 Street / 53A Avenue,1.0,1.0,Apartment,0,587.0,54.534061
3200.0,/v-apartments-condos/delta-surrey-langley/the-lincoln-2-bdrm-den-available-at-5335-200a-ave-langley-a/1694817453,"The Lincoln - 2 Bdrm + Den available at 5335 200a Ave, Langley A",Langley,"1 Month Rent Free + $500 Security Deposit Visit our Website: https://www.capreit.ca/apartments-for-rent/langley-bc/the-lincoln/ Move into The Lincoln, Langley’s newest luxury rental building. This ...",200 Street / 53A Avenue,2.5,1.0,Apartment,0,1041.0,96.712023
2180.0,/v-apartments-condos/burnaby-new-westminster/colonial-house-apartments-1-bdrm-available-at-435-ash-street/1687700341,"Colonial House Apartments - 1 Bdrm available at 435 Ash Street,",New Westminster,1 Month Rent Free + $500 Security Deposit Visit our Website: https://www.capreit.ca/apartments-for-rent/new-westminster-bc/colonial-house-apartments/ These 1 bedroom apartments for rent in New ...,Eighth Street / Fifth Avenue,1.0,1.0,Apartment,0,647.0,60.108241
1950.0,/v-apartments-condos/vancouver/spacious-1-bedroom-ground-level-suite-for-rent/1695109825,Spacious 1 bedroom ground level suite for rent,Knight,"Spacious, bright 1 bedroom ground level suite Location: Centrally located in Vancouver, 15 mins away from downtown Vancouver, YVR, Canada line, UBC, downtown university ,shopping and restaurants in ...",Knight Street / East 28th Avenue,1.0,1.0,House,0,500.0,46.4515
2195.0,/v-apartments-condos/burnaby-new-westminster/hillcrest-manor-apartments-1-bdrm-available-at-1303-eighth-ave/1689326208,Hillcrest Manor Apartments - 1 Bdrm available at 1303 Eighth Ave,New Westminster,1 Month Rent Free + $500 Security Deposit Visit our Website: https://www.capreit.ca/apartments-for-rent/new-westminster-bc/hillcrest-manor-apartments/ These apartments for rent in New Westminster ...,Eighth Avenue / Thirteenth Street,1.0,1.0,Apartment,0,824.0,76.552072
1935.0,/v-apartments-condos/burnaby-new-westminster/hillcrest-manor-apartments-bachelor-available-at-1303-eighth-a/1686935887,Hillcrest Manor Apartments - Bachelor available at 1303 Eighth A,New Westminster,1 Month Rent Free + $500 Security Deposit Visit our Website: https://www.capreit.ca/apartments-for-rent/new-westminster-bc/hillcrest-manor-apartments/ These apartments for rent in New Westminster ...,Eighth Avenue / Thirteenth Street,0.0,1.0,Apartment,0,518.0,48.123754
2225.0,/v-apartments-condos/burnaby-new-westminster/vista-terrace-apartments-1-bdrm-available-at-7465-13-avenue/1691807687,"Vista Terrace Apartments - 1 Bdrm available at 7465 - 13 Avenue,",Burnaby,$500 Security Deposit Move in this month and you may qualify for our incentive. Visit our Website: https://www.capreit.ca/apartments-for-rent/burnaby-bc/vista-terrace-apartments/ Rental office is ...,14th Avenue / Mary Avenue,1.0,1.0,Apartment,0,701.0,65.125003
2765.0,/v-apartments-condos/burnaby-new-westminster/skyview-apartments-2-bdrm-available-at-908-sixth-avenue-new-w/1694593335,"Skyview Apartments - 2 Bdrm available at 908 Sixth Avenue, New W",New Westminster,$500 Security Deposit Move in this month and you may qualify for our incentive. Visit our Website: https://www.capreit.ca/apartments-for-rent/new-westminster-bc/skyview-apartments/ Landscaped lobby ...,Eighth Street / Sixth Avenue,2.0,1.0,Apartment,0,785.0,72.928855
2245.0,/v-apartments-condos/burnaby-new-westminster/skyview-apartments-1-bdrm-available-at-908-sixth-avenue-new-w/1686872272,"Skyview Apartments - 1 Bdrm available at 908 Sixth Avenue, New W",New Westminster,$500 Security Deposit Move in this month and you may qualify for our incentive. Visit our Website: https://www.capreit.ca/apartments-for-rent/new-westminster-bc/skyview-apartments/ Landscaped lobby ...,Eighth Street / Sixth Avenue,1.0,1.0,Apartment,0,595.0,55.277285
2140.0,/v-apartments-condos/delta-surrey-langley/yorkson-grove-apartments-1-bdrm-den-available-at-8026-207th/1694703532,Yorkson Grove Apartments - 1 Bdrm + Den available at 8026 207th,Langley,Visit our Website: https://www.capreit.ca/apartments-for-rent/langley-bc/yorkson-grove-apartments/ If you are seeking luxury apartments for rent in Langley then Yorkson Grove Apartments are for you. ...,80 Avenue / 207 Street,1.5,1.0,Apartment,0,801.0,74.415303
2775.0,/v-apartments-condos/delta-surrey-langley/yorkson-grove-apartments-2-bdrm-den-available-at-8026-207th/1686716375,Yorkson Grove Apartments - 2 Bdrm + Den available at 8026 207th,Langley,Visit our Website: https://www.capreit.ca/apartments-for-rent/langley-bc/yorkson-grove-apartments/ If you are seeking luxury apartments for rent in Langley then Yorkson Grove Apartments are for you. ...,80 Avenue / 207 Street,2.5,1.0,Apartment,0,1268.0,117.801004
2985.0,/v-apartments-condos/vancouver/apartment-for-rent/1695107144,Apartment for Rent,Vancouver,"Welcome to your new cozy home in the heart of Downtown! This charming 1 bedroom + den unit is perfect for singles, couples, or a pair of roommates looking for a convenient and comfortable place to ...",Beatty Street / Dunsmuir Street,1.5,1.0,Apartment,0,620.0,57.59986
2300.0,/v-apartments-condos/vancouver/near-ubc-arbutus-quilchena-1-bdrm-1bath-650-sqft/1695105973,Near UBC-Arbutus-Quilchena-1 Bdrm-1Bath/650 sqft,Vancouver,"Welcome to a clean & bright 650 sqft UNFURNISHED, private entrance, basement suite in a family home. Located in the desirable and safe neighbourhood of Quilchena/Arbutus, and 20 minutes from UBC ON ...",West King Edward Avenue / Brakenridge Street,1.0,1.0,Basement,0,650.0,60.38695
3000.0,/v-apartments-condos/north-shore/brand-new-lower-lonsdale-building/1693617313,Brand New Lower Lonsdale Building!,North Vancouver,"The Grand Lion is a brand new building located in Lower Lonsdale. Situated onky 2 blocks from Sea Bus, Lonsdale Quay and Shipyard’s District. Concrete build with Valet 1 safety features. Granite ...",Forbes Avenue / West 1st Street,1.0,1.0,Apartment,1,667.0,61.966301
3200.0,/v-apartments-condos/delta-surrey-langley/two-bed-two-bath-bonus-two-parking-condo/1695101001,Two bed two bath bonus TWO PARKING CONDO,Langley Township,Available: July 01 Rent: 3200.00 Requirement: Minimum One Year Address: 366 8258 207 A Langley V2Y 0N4 NO SMOKING NO PETS (FIRM) Beautiful Yorkson Creek Development. Third floor. Two bed two bath and ...,208 Street / 83 Avenue,2.5,2.0,Condo,2,1120.0,104.05136
2286.0,/v-apartments-condos/delta-surrey-langley/2-bedroom-apartment-for-rent-5477-200-street/1691807579,2 Bedroom Apartment for Rent - 5477 200 Street,Langley,"Each suite includes a stainless-steel fridge, stove, dishwasher, and microwave by Whirlpool, as well as an in-suite laundry set. Kitchens and bathrooms are accented with quartz countertops, under ...",200 Street / Brydon Crescent,2.0,2.0,Apartment,0,894.0,83.055282
2586.0,/v-apartments-condos/tricities-pitt-maple/2-bedroom-apartment-for-rent-535-555-shaw-avenue/1687280502,2 Bedroom Apartment for Rent - 535 & 555 Shaw Avenue,Tricities/Pitt/Maple,"A quiet family-oriented apartment building surrounded by trees and the Gardens, they are spacious, with park benches to relax and enjoy the well manicured gardens. Located at the end of a quiet ...",Rochester Avenue / Clayton Street,2.0,1.0,Apartment,0,902.0,83.798506
3300.0,/v-apartments-condos/vancouver-downtown-west-end/westend-condo-for-rent/1694959559,Westend Condo for Rent,Vancouver,"West of Denman reinforced concrete strata, located on large property with outdoor pool, manicured gardens offers fully renovated two bedroom SE corner. Enjoy great light & views to English Bay & city ...",Denman Street / Haro Street,2.0,1.0,Condo,1,780.0,72.46433999999999
2300.0,/v-apartments-condos/vancouver/near-ubc-arbutus-quilchena-1-bdrm-1bath-650-sqft/1695105973,Near UBC-Arbutus-Quilchena-1 Bdrm-1Bath/650 sqft,Vancouver,"Welcome to a clean & bright 650 sqft UNFURNISHED, private entrance, basement suite in a family home. Located in the desirable and safe neighbourhood of Quilchena/Arbutus, and 20 minutes from UBC ON ...",West King Edward Avenue / Brakenridge Street,1.0,1.0,Basement,0,650.0,60.38695
1950.0,/v-apartments-condos/delta-surrey-langley/guildford-apartment-for-rent-mainstreet-estates/1647498775,Guildford Apartment For Rent | Mainstreet Estates,Delta/Surrey/Langley,"Mainstreet Estates is professionally managed by Mainstreet Equity Welcome to Mainstreet Estates Modern Suites Available At The Best Location In Surrey We are within walking distance to Superstore, ...",150 Street / 107A Avenue,1.0,1.0,Apartment,0,625.0,58.064375
3400.0,/v-apartments-condos/richmond-bc/pet-friendly-3-beds-2-bath-newly-renovated-house-for-rent/1692334637,Pet Friendly 3 beds 2 bath newly renovated house for rent,Richmond,"Well behaved pets welcome! Newly renovated house available to stable, long term tenants (minimum 6 months term) Fully furnished, everything comes with the suite shown in photo. Brand new appliances. ...",No 1 Road / Tyson Place,3.0,1.5,House,2,1000.0,92.903
2625.0,/v-apartments-condos/vancouver-downtown-west-end/1-bedroom-apartment-for-rent-1360-hornby-street/1694741494,1 Bedroom Apartment for Rent - 1360 Hornby Street,Vancouver,"Virtual Open House: View our units by clicking the virtual tour link, schedule a video tour or make an appointment for in person viewing. PACIFIC TERRACE APARTMENTS is located in Vancouver's Downtown ...",Pacific Street / Hornby Street,1.0,1.0,Apartment,0,551.0,51.189553
2475.0,/v-apartments-condos/vancouver-downtown-west-end/bridgewater-1-bedroom-apartment-for-rent/1692283316,Bridgewater - 1 Bedroom Apartment for Rent,Downtown-West End,"Built beside City Hall on a quiet cul-de-sac in Central Lonsdale, Bridgewater offers a rooftop terrace, resident lounge, gym, in-suite laundry, and pet friendly apartments for rent, including ...",Marine Drive / 14th Street,1.0,1.0,Apartment,0,500.0,46.4515
2750.0,/v-apartments-condos/vancouver-downtown-west-end/bridgewater-1-bedroom-apartment-for-rent/1693907907,Bridgewater - 1 Bedroom Apartment for Rent,Downtown-West End,"Built beside City Hall on a quiet cul-de-sac in Central Lonsdale, Bridgewater offers a rooftop terrace, resident lounge, gym, in-suite laundry, and pet friendly apartments for rent, including ...",Marine Drive / 14th Street,1.0,1.0,Apartment,0,500.0,46.4515
3775.0,/v-apartments-condos/vancouver-downtown-west-end/bridgewater-2-bedroom-apartment-for-rent/1694555618,Bridgewater - 2 Bedroom Apartment for Rent,Downtown-West End,"Built beside City Hall on a quiet cul-de-sac in Central Lonsdale, Bridgewater offers a rooftop terrace, resident lounge, gym, in-suite laundry, and pet friendly apartments for rent, including ...",Marine Drive / 14th Street,2.0,2.0,Apartment,0,939.0,87.235917
