price,link,title,location,description,attributes
"$1,849.00",/v-apartments-condos/delta-surrey-langley/studio-in-surrey-call-now/1694515741,Studio in Surrey! | Call Now!,Surrey,"Metro comprises of four 6-storey buildings near Downtown Surrey. In these beautiful apartments buildings, it offers a mix of studio, one, and two bedroom suites with dens and extra bathrooms in ...","{'Nearest intersection': '58 Avenue / King George Boulevard', 'Bedrooms': '0', 'Bathrooms': '1', 'Unit type': 'Apartment', 'Parking included': '0', 'Size (sqft)': None}"
"$2,199.00",/v-apartments-condos/delta-surrey-langley/1-bedroom-available-in-surrey-call-now/1694515701,1 Bedroom Available in Surrey! | Call now!,Surrey,"Surrey's newest luxury rental building offers one, and two-bedroom suites located off King George Boulevard - Surrey's emerging city centre. This brand-new, energy-efficient,mid-rise apartment ...","{'Nearest intersection': '96 Avenue / King George Boulevard', 'Bedrooms': '1', 'Bathrooms': '1', 'Unit type': 'Apartment', 'Parking included': '0', 'Size (sqft)': None}"
"$4,110.00",/v-apartments-condos/vancouver/the-bowline-3-bedroom-apartment-for-rent/1684095801,The Bowline - 3 Bedroom Apartment for Rent,Vancouver,"Over 90% rented. Please inquire for details on the last remaining homes. Live steps from the Shipyards District, minutes to Downtown Vancouver and within reach of those iconic coastal mountains, The ...","{'Nearest intersection': 'East 3rd Street / St Georges Avenue', 'Bedrooms': '3', 'Bathrooms': '2', 'Unit type': 'Apartment', 'Parking included': '0', 'Size (sqft)': None}"
"$3,225.00",/v-apartments-condos/vancouver/the-bowline-1d-bedroom-apartment-for-rent/1682309737,The Bowline - 1D Bedroom Apartment for Rent,Vancouver,"Over 90% rented. Please inquire for details on the last remaining homes. Live steps from the Shipyards District, minutes to Downtown Vancouver and within reach of those iconic coastal mountains, The ...","{'Nearest intersection': 'East 3rd Street / St Georges Avenue', 'Bedrooms': '1.5', 'Bathrooms': '1', 'Unit type': 'Apartment', 'Parking included': '0', 'Size (sqft)': None}"
"$2,350.00",/v-apartments-condos/vancouver/the-bowline-0-bedroom-apartment-for-rent/1682227345,The Bowline - 0 Bedroom Apartment for Rent,Vancouver,"Over 90% rented. Please inquire for details on the last remaining homes. Live steps from the Shipyards District, minutes to Downtown Vancouver and within reach of those iconic coastal mountains, The ...","{'Nearest intersection': 'East 3rd Street / St Georges Avenue', 'Bedrooms': '0', 'Bathrooms': '1', 'Unit type': 'Apartment', 'Parking included': '0', 'Size (sqft)': None}"
"$3,600.00",/v-apartments-condos/vancouver/the-bowline-2-bedroom-apartment-for-rent/1689361164,The Bowline - 2 Bedroom Apartment for Rent,Vancouver,"Over 90% rented. Please inquire for details on the last remaining homes. Live steps from the Shipyards District, minutes to Downtown Vancouver and within reach of those iconic coastal mountains, The ...","{'Nearest intersection': 'East 3rd Street / St Georges Avenue', 'Bedrooms': '2', 'Bathrooms': '2', 'Unit type': 'Apartment', 'Parking included': '0', 'Size (sqft)': None}"
"$2,725.00",/v-apartments-condos/vancouver/the-bowline-1-bedroom-apartment-for-rent/1682026259,The Bowline - 1 Bedroom Apartment for Rent,Vancouver,"Over 90% rented. Please inquire for details on the last remaining homes. Live steps from the Shipyards District, minutes to Downtown Vancouver and within reach of those iconic coastal mountains, The ...","{'Nearest intersection': 'East 3rd Street / St Georges Avenue', 'Bedrooms': '1', 'Bathrooms': '1', 'Unit type': 'Apartment', 'Parking included': '0', 'Size (sqft)': None}"
"$3,504.00",/v-apartments-condos/vancouver-downtown-west-end/chronicle-junior-1-bedroom-apartment-for-rent/1689919788,Chronicle - Junior 1 Bedroom Apartment for Rent,Vancouver,"Downtown Vancouver's newest rental high-rise community, on Robson Street. Learn more at RentChronicle.com Key Features (unfurnished) Pet-friendly True Air Conditioning Pet-friendly (Pets subject to ...","{'Nearest intersection': 'Robson Street / Nicola Street', 'Bedrooms': '1', 'Bathrooms': '1', 'Unit type': 'Apartment', 'Parking included': '0', 'Size (sqft)': '511sqft'}"
"$6,222.00",/v-apartments-condos/vancouver-downtown-west-end/chronicle-3-bedroom-apartment-for-rent/1692005834,Chronicle - 3 Bedroom Apartment for Rent,Downtown-West End,"Downtown Vancouver's newest rental high-rise community, on Robson Street. Learn more at RentChronicle.com Key Features (unfurnished) Pet-friendly True Air Conditioning Pet-friendly (Pets subject to ...","{'Nearest intersection': 'Robson Street / Nicola Street', 'Bedrooms': '3.5', 'Bathrooms': '2', 'Unit type': 'Apartment', 'Parking included': '0', 'Size (sqft)': '1018sqft'}"
"$4,429.00",/v-apartments-condos/vancouver-downtown-west-end/chronicle-2-bedroom-apartment-for-rent/1671321313,Chronicle - 2 Bedroom Apartment for Rent,Vancouver,"Downtown Vancouver's newest rental high-rise community, on Robson Street. Learn more at RentChronicle.com Key Features (unfurnished) Pet-friendly True Air Conditioning Pet-friendly (Pets subject to ...","{'Nearest intersection': 'Robson Street / Nicola Street', 'Bedrooms': '2.5', 'Bathrooms': '2', 'Unit type': 'Apartment', 'Parking included': '0', 'Size (sqft)': '800sqft'}"
"$3,355.00",/v-apartments-condos/vancouver-downtown-west-end/chronicle-1-bedroom-apartment-for-rent/1689242855,Chronicle - 1 Bedroom Apartment for Rent,Downtown-West End,"Downtown Vancouver's newest rental high-rise community, on Robson Street. Learn more at RentChronicle.com Key Features (unfurnished) Pet-friendly True Air Conditioning Pet-friendly (Pets subject to ...","{'Nearest intersection': 'Robson Street / Nicola Street', 'Bedrooms': '1.5', 'Bathrooms': '1', 'Unit type': 'Apartment', 'Parking included': '0', 'Size (sqft)': '627sqft'}"
"$2,045.00",/v-apartments-condos/delta-surrey-langley/apartment-for-rent/1695137703,Apartment for rent,Delta/Surrey/Langley,Text message 2363349498 Minimum 1 year lease,"{'Nearest intersection': '56 Avenue / 200 Street', 'Bedrooms': '1', 'Bathrooms': '1', 'Unit type': 'Apartment', 'Parking included': '0', 'Size (sqft)': '650sqft'}"
"$2,065.00",/v-apartments-condos/delta-surrey-langley/the-meridian-apartments-1-bdrm-available-at-5363-201-street/1687611906,"The Meridian Apartments - 1 Bdrm available at 5363 - 201 Street,",Delta/Surrey/Langley,1 Month Rent Free + $500 Security Deposit Visit our Website: https://www.capreit.ca/apartments-for-rent/langley-bc/the-meridian-apartments/ The Meridian offers you luxury apartments for rent in the ...,"{'Nearest intersection': '200 Street / 53A Avenue', 'Bedrooms': '1', 'Bathrooms': '1', 'Unit type': 'Apartment', 'Parking included': '0', 'Size (sqft)': '585sqft'}"
"$2,195.00",/v-apartments-condos/delta-surrey-langley/the-meridian-apartments-1-bdrm-den-available-at-5363-201-s/1687611898,The Meridian Apartments - 1 Bdrm + Den available at 5363 - 201 S,Delta/Surrey/Langley,1 Month Rent Free + $500 Security Deposit Visit our Website: https://www.capreit.ca/apartments-for-rent/langley-bc/the-meridian-apartments/ The Meridian offers you luxury apartments for rent in the ...,"{'Nearest intersection': '200 Street / 53A Avenue', 'Bedrooms': '1.5', 'Bathrooms': '1', 'Unit type': 'Apartment', 'Parking included': '0', 'Size (sqft)': '758sqft'}"
"$2,450.00",/v-apartments-condos/vancouver-downtown-west-end/studio-apartment-in-mount-pleasant-vancouver/1692761936,Studio apartment in Mount Pleasant Vancouver!,Downtown-West End,"Luxury studio, 1 & 2 bedroom apartments in Vancouver -Don't miss out, call today! 40% OFF ANY TELUS OPTIK TV AND INTERNET PRODUCT MONTHLY* Forget the stresses of home ownership and live in luxury at ...","{'Nearest intersection': 'Kingsway / East 11th Avenue', 'Bedrooms': '0', 'Bathrooms': '1', 'Unit type': 'Apartment', 'Parking included': '0', 'Size (sqft)': None}"
"$1,955.00",/v-apartments-condos/burnaby-new-westminster/stunning-studio-suites-in-new-westminster-at-novare/1692761933,Stunning Studio suites in New Westminster at Novare,Burnaby/New Westminster,Love where you live at Novare in New Westminster-Chic apartments Call Today! Current Incentives: 1 Month FREE Rent on Select Suites* 25% off any Telus Optik TV and internet product monthly* Ask us ...,"{'Nearest intersection': 'Sixth Street / Carnarvon Street', 'Bedrooms': '0', 'Bathrooms': '1', 'Unit type': 'Apartment', 'Parking included': '0', 'Size (sqft)': None}"
"$4,400.00",/v-apartments-condos/vancouver/century-3-bedrooms-apartment-for-rent/1690239465,Century - 3 Bedrooms Apartment for Rent,Vancouver,"Century by Cressey offers pet-friendly studio, one-, two-, and three-bedroom rental homes in the vibrant Central Lonsdale neighbourhood of North Vancouver. This building is a walker's paradise as the ...","{'Nearest intersection': 'East 13th Street / St Andrews Avenue', 'Bedrooms': '3', 'Bathrooms': '2', 'Unit type': 'Apartment', 'Parking included': '0', 'Size (sqft)': '981sqft'}"
"$3,500.00",/v-apartments-condos/burnaby-new-westminster/pet-friendly-large-2-bed-2-bath-apartment-in-brentwood/1695136492,"(Pet Friendly) Large 2 Bed, 2 Bath Apartment in Brentwood",Burnaby,**Message or Apply Now at https://liv.rent/listings/oVNZRL6NvW** Entire Apartment at Motif 4400 Buchanan Street Unit Details: 2 bedroom 2 bathroom Size: 1167 sqft Unfurnished Rental Terms and ...,"{'Nearest intersection': 'Willingdon Avenue / Buchanan Street', 'Bedrooms': '2', 'Bathrooms': '2', 'Unit type': 'Apartment', 'Parking included': '1', 'Size (sqft)': '1167sqft'}"
"$1,980.00",/v-apartments-condos/vancouver-downtown-west-end/2-bedroom-suite-in-a-house-in-west-vancouver-for-rent/1695135666,2-bedroom suite in a house in West Vancouver for rent!,West Vancouver,"West Vancouver good school district house has a rental suite with 2 bedrooms, 1 living room, 1 bathroom on the lower lever, independent entrance, and ready to move in now! This house is located near ...","{'Nearest intersection': 'Taylor Way / Taylor Place', 'Bedrooms': '2', 'Bathrooms': '1', 'Unit type': 'Basement', 'Parking included': '0', 'Size (sqft)': '700sqft'}"
"$1,950.00",/v-apartments-condos/delta-surrey-langley/guildford-apartment-for-rent-mainstreet-estates/1647498775,Guildford Apartment For Rent | Mainstreet Estates,Delta/Surrey/Langley,"Mainstreet Estates is professionally managed by Mainstreet Equity Welcome to Mainstreet Estates Modern Suites Available At The Best Location In Surrey We are within walking distance to Superstore, ...","{'Nearest intersection': '150 Street / 107A Avenue', 'Bedrooms': '1', 'Bathrooms': '1', 'Unit type': 'Apartment', 'Parking included': '0', 'Size (sqft)': '625sqft'}"
"$2,000.00",/v-apartments-condos/delta-surrey-langley/surrey-central-apartment-for-rent-imperial-parkside/1647498131,Surrey Central Apartment For Rent | Imperial Parkside,Delta/Surrey/Langley,"Imperial Parkside is professionally managed by Mainstreet Equity Rental Suite Amenities: Suites are fully renovated with laminate floors, tile kitchen and bathroom. New carpets and new appliances. ...","{'Nearest intersection': '96 Avenue / 127 Street', 'Bedrooms': '1', 'Bathrooms': '1', 'Unit type': 'Apartment', 'Parking included': '0', 'Size (sqft)': '550sqft'}"
"$1,900.00",/v-apartments-condos/delta-surrey-langley/newton-apartment-for-rent-cedartree-village/1647497717,Newton Apartment For Rent | Cedartree Village,Delta/Surrey/Langley,"Cedartree Village is professionally managed by Mainstreet Equity Welcome to Cedartree Village Rental Suite Amenities: Renovated 1,2,3 bedroom suites. Most suites have fireplaces, laminate floors, ...","{'Nearest intersection': 'King George Boulevard / Hall Road', 'Bedrooms': '1', 'Bathrooms': '1', 'Unit type': 'Apartment', 'Parking included': '0', 'Size (sqft)': '585sqft'}"
"$2,000.00",/v-apartments-condos/delta-surrey-langley/guildford-apartment-for-rent-greenwood-gardens/1647498830,Guildford Apartment For Rent | Greenwood Gardens,Delta/Surrey/Langley,"Greenwood Gardens is professionally managed by Mainstreet Equity Rental Suite Amenities: Suites are fully renovated with laminate floors, tile kitchen and bathroom. New carpets and new appliances. ...","{'Nearest intersection': '148 Street / 104 Avenue', 'Bedrooms': '1', 'Bathrooms': '1', 'Unit type': 'Apartment', 'Parking included': '0', 'Size (sqft)': '664sqft'}"
$900.00,/v-apartments-condos/burnaby-new-westminster/one-cozy-bedroom-with-a-private-bathroom/1695132942,One Cozy Bedroom with a Private Bathroom,Coquitlam,One Cozy Bedroom with a Private Bathroom for $900/month! Just a Quick 10-minute Bus Ride to Douglas College. Female Tenants Only Phone: 778-903-2665 Email: congguo12@gmail.com ✨ One Bed-One Bathroom ...,"{'Nearest intersection': 'Plateau Boulevard / Sugarpine Court', 'Bedrooms': '1', 'Bathrooms': '1', 'Unit type': 'House', 'Parking included': '1', 'Size (sqft)': '400sqft'}"
"$2,450.00",/v-apartments-condos/burnaby-new-westminster/2-bed-1-bath-ground-level-south-facing-for-rent-near-parkgate/1695132136,2 Bed 1 Bath Ground Level South Facing for Rent near Parkgate,North Vancouver,"Our private ground floor 2 bedroom suite is available for rent July 1, 2024. Located near Parkgate, just 5 mins drive to Deep Cove. - bright suit facing south, over the ground, with separate entrance ...","{'Nearest intersection': 'Mt Seymour Parkway / Strathaven Drive', 'Bedrooms': '2.5', 'Bathrooms': '1', 'Unit type': 'House', 'Parking included': '2', 'Size (sqft)': '1000sqft'}"
"$1,400.00",/v-apartments-condos/burnaby-new-westminster/basement-for-rent/1695130615,Basement for Rent,Burnaby/New Westminster,Newly renovated basement for rent. 1 bedroom 1 bathroom. Separate Entrance.,"{'Nearest intersection': 'Pitt River Road / Nova Scotia Avenue', 'Bedrooms': '1', 'Bathrooms': '1', 'Unit type': 'House', 'Parking included': '2', 'Size (sqft)': '1568sqft'}"
"$3,150.00",/v-apartments-condos/delta-surrey-langley/home-for-rent/1695130247,Home for rent,Delta/Surrey/Langley,"Fully renovated home, New floor, paint and new windows, Close to Sikh Temple,bus stand, super store , Laundry included, 50% utility,","{'Nearest intersection': '140 Street / 74 Avenue', 'Bedrooms': '3', 'Bathrooms': '1.5', 'Unit type': 'House', 'Parking included': '2', 'Size (sqft)': '1500sqft'}"
"$1,400.00",/v-apartments-condos/delta-surrey-langley/2-bedroom-2-bathroom/1693500308,2 bedroom 2 bathroom,Delta,"Private bedroom in a 2 Bed 2Bathroom available for rent. Opposite King George skytrain station. Building has a secure entry, residents lounge, cafe, games room, co-working space, gym. Skytrain ...","{'Nearest intersection': '80 Avenue / 119 Street', 'Bedrooms': '2', 'Bathrooms': '2', 'Unit type': 'Apartment', 'Parking included': '0', 'Size (sqft)': '860sqft'}"
"$3,595.00",/v-apartments-condos/vancouver-downtown-west-end/renovated-2-bedroom-downtown-at-nelson-burrard/1692164088,Renovated 2 bedroom downtown at Nelson & Burrard,Downtown-West End,"Fully renovated and stylish 2 bedroom suites on Nelson and Burrard, adjacent to the Central Business District & downtowns most vibrant neighbourhoods- Call Today! Current Incentives: 1 Month FREE ...","{'Nearest intersection': 'Burrard Street / Nelson Street', 'Bedrooms': '2', 'Bathrooms': '1', 'Unit type': 'Apartment', 'Parking included': '0', 'Size (sqft)': None}"
"$2,415.00",/v-apartments-condos/vancouver-downtown-west-end/stylish-studio-suites-at-nelson-burrard/1649644924,Stylish studio suites at Nelson & Burrard!,Vancouver,"Fully renovated and standard stylish studio suites at Nelson and Burrard, adjacent to the Central Business District & downtowns most vibrant neighbourhoods -Call Today! Current Incentives: 1 Month ...","{'Nearest intersection': 'Burrard Street / Nelson Street', 'Bedrooms': '0', 'Bathrooms': '1', 'Unit type': 'Apartment', 'Parking included': '0', 'Size (sqft)': None}"
"$1,850.00",/v-apartments-condos/delta-surrey-langley/1-bdrm-across-from-king-george-skytrain/1681569867,1 bdrm across from King George SkyTrain!,Surrey,Gorgeous 1 bedroom suites are going fast at Surrey Surrey Village 2 blocks from City Center Shopping Center!Come see what makes us Exceptional! 25% off any Telus Optik TV and internet product ...,"{'Nearest intersection': 'King George Boulevard / 98A Avenue', 'Bedrooms': '1', 'Bathrooms': '1', 'Unit type': 'Apartment', 'Parking included': '0', 'Size (sqft)': None}"
"$2,725.00",/v-apartments-condos/delta-surrey-langley/renovated-2-bdrm-across-from-king-george-skytrain/1689799365,Renovated 2 bdrm across from King George SkyTrain,Surrey,"**Gorgeous fully renovated 2 bedroom suites are going fast at Surrey Village!** 25% off any Telus Optik TV and internet product monthly* Key Property Details: Suites have brand new cupboards, counter ...","{'Nearest intersection': 'King George Boulevard / 98A Avenue', 'Bedrooms': '2', 'Bathrooms': '1', 'Unit type': 'Apartment', 'Parking included': '0', 'Size (sqft)': '832sqft'}"
"$2,755.00",/v-apartments-condos/burnaby-new-westminster/modern-2-bedroom-1-bath-apartment-in-new-westminster/1686542796,Modern 2 bedroom 1 bath apartment in New Westminster!,New Westminster,Love where you live at Novare in New Westminster-Call Today! Current Incentives: 1 Month FREE Rent on Select Suites* Ask about transit subsidy* 25% off any Telus Optik TV and internet product ...,"{'Nearest intersection': 'Sixth Street / Carnarvon Street', 'Bedrooms': '2', 'Bathrooms': '1', 'Unit type': 'Apartment', 'Parking included': '0', 'Size (sqft)': None}"
"$2,125.00",/v-apartments-condos/delta-surrey-langley/renovated-2-bedroom-in-langley-at-glades-on-55-apartments/1687959320,Renovated 2 bedroom in Langley at Glades on 55 Apartments!,Langley,"Discover Glades On 55, call today to see your new home! Renovated 2 bedrooms available now! Current Incentives: 1 Month FREE Rent on Select Suites* 25% off any Telus Optik TV and internet product ...","{'Nearest intersection': '200 Street / 55A Avenue', 'Bedrooms': '2', 'Bathrooms': '1', 'Unit type': 'Apartment', 'Parking included': '0', 'Size (sqft)': None}"
"$1,895.00",/v-apartments-condos/delta-surrey-langley/renovated-1-bedroom-suite-in-langley/1648915650,Renovated 1 bedroom suite in Langley!,Langley,Discover our renovated 1 bedroom suites at Glades on 55- Call today to see your new home! Current Incentives: 1 Month FREE Rent on Select Suites* 25% off any Telus Optik TV and internet products ...,"{'Nearest intersection': '56 Avenue / 200 Street', 'Bedrooms': '1', 'Bathrooms': '1', 'Unit type': 'Apartment', 'Parking included': '0', 'Size (sqft)': None}"
"$2,695.00",/v-apartments-condos/vancouver/stunning-2-bedrooms-call-today/1694985117,Stunning  2 bedrooms - Call today!,Coquitlam,"FULLY RENOVATED CONDO QUALITY 2 BEDROOM APARTMENTS-CALL TODAY FOR AVAILABILITY. 25% off any Telus Optik TV and internet product monthly* Braemar Gardens offers spacious, newly renovated and freshly ...","{'Nearest intersection': 'Brunette Avenue / Lebleu Street', 'Bedrooms': '2', 'Bathrooms': '1', 'Unit type': 'Apartment', 'Parking included': '0', 'Size (sqft)': None}"
"$2,250.00",/v-apartments-condos/vancouver/2-bedroom-suite-rental-heart-of-commercial-drive/1691006654,2 Bedroom Suite Rental - Heart of Commercial Drive,Vancouver,"2 Bedroom Suite, Heart of Commercial Drive, East Vancouver. Ideal for two adults and 1-2 children. Lower floor of heritage home. Shared laundry. New appliances, newly painted. $2250 per month. Plus ...","{'Nearest intersection': 'Commercial Drive / Kitchener Street', 'Bedrooms': '2', 'Bathrooms': '1', 'Unit type': 'House', 'Parking included': '0', 'Size (sqft)': '750sqft'}"
"$2,550.00",/v-apartments-condos/vancouver/25-discount-off-telus-jr-1-bdrm-english-bay/1544546186,25% Discount Off Telus JR 1 BDRM - ENGLISH BAY!,Vancouver,*Conditions apply and quoted prices are subject to change based on availability - Contact our leasing team now for availability* In the heart of Vancouver's west end! Beach Towers offers a wide range ...,"{'Nearest intersection': 'Beach Avenue / Bidwell Street', 'Bedrooms': '1', 'Bathrooms': '1', 'Unit type': 'Apartment', 'Parking included': '0', 'Size (sqft)': None}"
"$2,400.00",/v-apartments-condos/burnaby-new-westminster/great-location-1-bed-den-for-rent-lougheedtowncenter-sfu/1693576562,Great location! 1 Bed + Den for rent -  LougheedTownCenter (SFU),Coquitlam,"Luxurious near new 1 bed & den 580 Sqft high-rise apartment located across from City of Lougheed Mall, next to Coquitlam college, 7 minutes drive to SFU Burnaby campus. Walking distance to Lougheed ...","{'Nearest intersection': 'Whiting Way / Brookmere Avenue', 'Bedrooms': '1.5', 'Bathrooms': '1', 'Unit type': 'Apartment', 'Parking included': '1', 'Size (sqft)': '580sqft'}"
"$3,300.00",/v-apartments-condos/vancouver-downtown-west-end/westend-condo-for-rent/1694959559,Westend Condo for Rent,Vancouver,"West of Denman reinforced concrete strata, located on large property with outdoor pool, manicured gardens offers fully renovated two bedroom SE corner. Enjoy great light & views to English Bay & city ...","{'Nearest intersection': 'Denman Street / Haro Street', 'Bedrooms': '2', 'Bathrooms': '1', 'Unit type': 'Condo', 'Parking included': '1', 'Size (sqft)': '780sqft'}"
"$3,600.00",/v-apartments-condos/tricities-pitt-maple/single-house-for-rent-in-maple-ridge/1693808029,Single house for rent in Maple Ridge,Maple Ridge,"12189, Creston st, this great family home is centrally located in the heart of West-Central Maple Ridge. Situated on a large, flat 100,000 sq ft lot, with nice landscaping and deck, east facing at ...","{'Nearest intersection': 'Laity Street / Campbell Avenue', 'Bedrooms': '3.5', 'Bathrooms': '2', 'Unit type': 'House', 'Parking included': '2', 'Size (sqft)': '1500sqft'}"
"$3,800.00",/v-apartments-condos/vancouver/large-2-bedroom-downtown-english-bay/1544546193,LARGE 2 BEDROOM - DOWNTOWN ENGLISH BAY,Vancouver,*Conditions apply and quoted prices are subject to change based on availability - Contact our leasing team now for availability* In the heart of Vancouver's west end! Beach Towers offers a wide range ...,"{'Nearest intersection': 'Beach Avenue / Bidwell Street', 'Bedrooms': '2', 'Bathrooms': '1.5', 'Unit type': 'Apartment', 'Parking included': '0', 'Size (sqft)': None}"
"$2,395.00",/v-apartments-condos/vancouver/condo-quality-suites-at-braemar-gardens-call-for-availability/1505844078,Condo quality suites at Braemar Gardens Call for availability!,Vancouver,"FULLY RENOVATED CONDO QUALITY 1 BEDROOM APARTMENTS-CALL TODAY FOR AVAILABILITY. 25% off any Telus Optik TV and internet product monthly* Braemar Gardens offers spacious, newly renovated and freshly ...","{'Nearest intersection': 'Brunette Avenue / Lebleu Street', 'Bedrooms': '1', 'Bathrooms': '1', 'Unit type': 'Apartment', 'Parking included': '0', 'Size (sqft)': None}"
"$2,805.00",/v-apartments-condos/vancouver/great-2-bedroom-in-white-rock-call-today/1689815251,Great 2 bedroom in White Rock- Call Today!,Vancouver,**Upgraded suites available which include high gloss white cabinetry and quartz countertops. In-suite laundry and hardwood flooring in select suites. 25% off any Telus Optik TV and internet product ...,"{'Nearest intersection': 'Buena Vista Avenue / Blackwood Street', 'Bedrooms': '2', 'Bathrooms': '1', 'Unit type': 'Apartment', 'Parking included': '0', 'Size (sqft)': None}"
"$2,125.00",/v-apartments-condos/vancouver/1-bedroom-suite-in-white-rock-at-bayview-gardens/1674394214,1 bedroom suite in White Rock at Bayview Gardens,White Rock,**Upgraded suites available which include high gloss white cabinetry and quartz countertops. In-suite laundry and hardwood flooring in select suites. Current incentive: 25% off any Telus Optik TV and ...,"{'Nearest intersection': 'Buena Vista Avenue / Blackwood Street', 'Bedrooms': '1', 'Bathrooms': '1', 'Unit type': 'Apartment', 'Parking included': '0', 'Size (sqft)': None}"
